"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.11.2019","3.704,92","3.711,18","3.716,79","3.687,30","29,75M","-0,18%"
"15.11.2019","3.711,61","3.698,06","3.713,26","3.690,06","33,45M","0,62%"
"14.11.2019","3.688,81","3.699,73","3.702,94","3.687,27","31,67M","-0,29%"
"13.11.2019","3.699,50","3.710,74","3.710,74","3.679,63","39,60M","-0,34%"
"12.11.2019","3.712,20","3.700,49","3.719,40","3.700,11","34,98M","0,42%"
"11.11.2019","3.696,82","3.696,97","3.702,78","3.683,33","31,57M","-0,08%"
"08.11.2019","3.699,65","3.703,35","3.706,91","3.687,99","42,03M","-0,19%"
"07.11.2019","3.706,68","3.694,97","3.708,65","3.694,97","44,58M","0,49%"
"06.11.2019","3.688,74","3.675,43","3.692,20","3.671,24","42,30M","0,33%"
"05.11.2019","3.676,52","3.666,54","3.678,63","3.661,21","48,16M","0,31%"
"04.11.2019","3.665,21","3.631,45","3.671,81","3.631,45","41,80M","1,14%"
"01.11.2019","3.623,74","3.610,22","3.633,64","3.607,68","27,79M","0,54%"
"31.10.2019","3.604,41","3.625,36","3.631,87","3.593,60","44,94M","-0,44%"
"30.10.2019","3.620,29","3.616,25","3.624,53","3.596,30","42,74M","-0,05%"
"29.10.2019","3.622,09","3.625,53","3.625,99","3.611,77","34,74M","-0,10%"
"28.10.2019","3.625,69","3.623,84","3.637,94","3.614,83","31,46M","0,03%"
"25.10.2019","3.624,68","3.622,79","3.631,04","3.604,40","32,17M","0,09%"
"24.10.2019","3.621,37","3.611,62","3.626,88","3.607,84","51,63M","0,40%"
"23.10.2019","3.606,89","3.595,78","3.608,63","3.585,76","36,31M","0,06%"
"22.10.2019","3.604,82","3.600,94","3.609,34","3.586,64","32,15M","0,13%"
"21.10.2019","3.600,08","3.583,37","3.608,95","3.578,81","34,60M","0,58%"
"18.10.2019","3.579,41","3.587,40","3.596,71","3.571,01","34,80M","-0,26%"
"17.10.2019","3.588,62","3.595,73","3.630,43","3.588,62","44,31M","-0,30%"
"16.10.2019","3.599,25","3.600,76","3.610,44","3.588,09","46,72M","0,02%"
"15.10.2019","3.598,65","3.562,39","3.610,31","3.562,39","42,81M","1,19%"
"14.10.2019","3.556,26","3.565,38","3.565,38","3.531,23","25,85M","-0,38%"
"11.10.2019","3.569,92","3.494,78","3.569,92","3.490,52","47,63M","2,17%"
"10.10.2019","3.493,96","3.469,99","3.501,19","3.445,44","35,74M","0,92%"
"09.10.2019","3.462,11","3.433,17","3.473,92","3.427,77","25,25M","0,85%"
"08.10.2019","3.432,76","3.473,24","3.476,46","3.426,82","28,96M","-1,11%"
"07.10.2019","3.471,24","3.442,14","3.471,88","3.433,87","24,77M","0,71%"
"04.10.2019","3.446,71","3.423,75","3.446,71","3.406,44","32,07M","0,86%"
"03.10.2019","3.417,37","3.414,14","3.431,24","3.398,64","32,35M","0,12%"
"02.10.2019","3.413,31","3.516,88","3.516,88","3.413,31","46,05M","-2,98%"
"01.10.2019","3.518,25","3.573,08","3.588,68","3.518,25","35,33M","-1,43%"
"30.09.2019","3.569,45","3.545,07","3.570,15","3.536,91","34,92M","0,66%"
"27.09.2019","3.545,88","3.534,47","3.553,25","3.534,47","27,26M","0,39%"
"26.09.2019","3.532,18","3.509,80","3.538,16","3.506,05","30,75M","0,55%"
"25.09.2019","3.513,03","3.526,84","3.526,84","3.480,28","35,38M","-0,54%"
"24.09.2019","3.532,05","3.542,53","3.547,98","3.531,65","29,82M","-0,14%"
"23.09.2019","3.536,97","3.565,96","3.565,96","3.526,26","35,11M","-0,96%"
"20.09.2019","3.571,39","3.552,73","3.578,04","3.546,30","87,16M","0,53%"
"19.09.2019","3.552,65","3.527,50","3.554,87","3.524,37","34,83M","0,70%"
"18.09.2019","3.528,04","3.520,88","3.536,65","3.518,01","32,02M","0,19%"
"17.09.2019","3.521,26","3.517,57","3.527,00","3.506,36","38,65M","0,08%"
"16.09.2019","3.518,45","3.540,47","3.540,47","3.518,45","39,32M","-0,89%"
"13.09.2019","3.550,11","3.539,93","3.555,85","3.534,38","44,76M","0,32%"
"12.09.2019","3.538,86","3.522,04","3.555,10","3.512,59","51,02M","0,63%"
"11.09.2019","3.516,82","3.502,24","3.520,95","3.502,24","44,09M","0,51%"
"10.09.2019","3.498,99","3.493,80","3.501,68","3.479,58","46,31M","0,11%"
"09.09.2019","3.495,02","3.495,85","3.503,05","3.486,75","34,62M","-0,00%"
"06.09.2019","3.495,19","3.484,86","3.495,87","3.479,62","35,28M","0,30%"
"05.09.2019","3.484,70","3.453,99","3.488,48","3.453,99","40,11M","0,98%"
"04.09.2019","3.450,83","3.424,98","3.461,06","3.424,98","36,06M","0,88%"
"03.09.2019","3.420,74","3.432,22","3.432,22","3.406,55","28,43M","-0,34%"
"02.09.2019","3.432,54","3.426,24","3.442,71","3.426,24","20,01M","0,17%"
"30.08.2019","3.426,76","3.412,45","3.443,08","3.412,11","39,17M","0,45%"
"29.08.2019","3.411,33","3.362,12","3.415,36","3.356,68","42,79M","1,37%"
"28.08.2019","3.365,38","3.363,51","3.368,23","3.334,07","28,77M","-0,15%"
"27.08.2019","3.370,47","3.348,84","3.380,88","3.334,49","36,63M","0,65%"
"26.08.2019","3.348,84","3.329,73","3.360,93","3.318,33","27,18M","0,44%"
"23.08.2019","3.334,25","3.382,31","3.394,21","3.334,25","35,52M","-1,17%"
"22.08.2019","3.373,67","3.390,05","3.405,35","3.366,44","32,11M","-0,63%"
"21.08.2019","3.394,89","3.353,66","3.400,06","3.353,66","27,74M","1,33%"
"20.08.2019","3.350,23","3.368,21","3.379,96","3.341,23","29,87M","-0,56%"
"19.08.2019","3.369,19","3.332,93","3.377,76","3.332,93","34,74M","1,20%"
"16.08.2019","3.329,08","3.286,54","3.333,44","3.286,54","59,94M","1,41%"
"15.08.2019","3.282,78","3.294,50","3.306,88","3.239,20","43,56M","-0,18%"
"14.08.2019","3.288,70","3.358,12","3.358,73","3.276,01","45,27M","-2,04%"
"13.08.2019","3.357,16","3.324,36","3.380,81","3.298,32","45,17M","0,92%"
"12.08.2019","3.326,55","3.340,82","3.370,63","3.318,66","31,86M","-0,22%"
"09.08.2019","3.333,74","3.366,29","3.367,43","3.326,73","46,24M","-1,23%"
"08.08.2019","3.375,38","3.323,77","3.375,38","3.323,77","36,79M","1,98%"
"07.08.2019","3.309,99","3.301,31","3.339,07","3.283,13","43,63M","0,56%"
"06.08.2019","3.291,66","3.310,08","3.337,54","3.291,66","37,77M","-0,58%"
"05.08.2019","3.310,93","3.365,49","3.365,49","3.302,30","46,95M","-1,93%"
"02.08.2019","3.376,12","3.473,00","3.473,00","3.368,66","56,48M","-3,26%"
"01.08.2019","3.490,03","3.458,01","3.491,16","3.451,60","38,75M","0,67%"
"31.07.2019","3.466,85","3.464,69","3.477,35","3.458,11","37,81M","0,12%"
"30.07.2019","3.462,85","3.523,97","3.526,53","3.455,13","45,84M","-1,72%"
"29.07.2019","3.523,58","3.522,36","3.539,94","3.517,12","24,71M","-0,03%"
